tidy.mean
    Subject           Activity   MeanSamples
1         1             LAYING -0.6815819785
2         1            SITTING -0.7250102567
3         1           STANDING -0.7518868639
4         1            WALKING -0.1932045725
5         1 WALKING_DOWNSTAIRS -0.1493580354
6         1   WALKING_UPSTAIRS -0.3153368084
7         2             LAYING -0.7431267532
8         2            SITTING -0.7373619856
9         2           STANDING -0.7399702610
10        2            WALKING -0.3254482064
11        2 WALKING_DOWNSTAIRS -0.1064115213
12        2   WALKING_UPSTAIRS -0.2709486379
13        3             LAYING -0.7343476887
14        3            SITTING -0.7078454500
15        3           STANDING -0.7120682067
16        3            WALKING -0.3179478011
17        3 WALKING_DOWNSTAIRS -0.2327083669
18        3   WALKING_UPSTAIRS -0.3583575678
19        4             LAYING -0.7286680347
20        4            SITTING -0.7178434207
21        4           STANDING -0.7053204677
22        4            WALKING -0.3921281327
23        4 WALKING_DOWNSTAIRS -0.2818406985
24        4   WALKING_UPSTAIRS -0.3413559502
25        5             LAYING -0.7390853589
26        5            SITTING -0.7181625088
27        5           STANDING -0.6982489431
28        5            WALKING -0.2908465359
29        5 WALKING_DOWNSTAIRS -0.1497219946
30        5   WALKING_UPSTAIRS -0.2443466942
31        6             LAYING -0.7144815024
32        6            SITTING -0.7166252231
33        6           STANDING -0.7231696800
34        6            WALKING -0.2311356331
35        6 WALKING_DOWNSTAIRS -0.0008041046
36        6   WALKING_UPSTAIRS -0.1899848140
37        7             LAYING -0.7238570647
38        7            SITTING -0.7123543767
39        7           STANDING -0.7258248527
40        7            WALKING -0.1845670204
41        7 WALKING_DOWNSTAIRS -0.1646582539
42        7   WALKING_UPSTAIRS -0.3628510218
43        8             LAYING -0.7224065204
44        8            SITTING -0.7274569411
45        8           STANDING -0.7353241289
46        8            WALKING -0.1605684134
47        8 WALKING_DOWNSTAIRS -0.0010361232
48        8   WALKING_UPSTAIRS -0.1468797821
49        9             LAYING -0.7261465105
50        9            SITTING -0.7045237555
51        9           STANDING -0.7194151138
52        9            WALKING -0.2868062257
53        9 WALKING_DOWNSTAIRS -0.1625484809
54        9   WALKING_UPSTAIRS -0.3523222492
55       10             LAYING -0.7514540421
56       10            SITTING -0.7371284558
57       10           STANDING -0.7215427320
58       10            WALKING -0.2073161192
59       10 WALKING_DOWNSTAIRS -0.1087323228
60       10   WALKING_UPSTAIRS -0.2146574790
61       11             LAYING -0.7392504813
62       11            SITTING -0.7302134165
63       11           STANDING -0.7475031819
64       11            WALKING -0.3790169584
65       11 WALKING_DOWNSTAIRS -0.2207180871
66       11   WALKING_UPSTAIRS -0.3709628435
67       12             LAYING -0.7276064473
68       12            SITTING -0.7279195070
69       12           STANDING -0.7193515056
70       12            WALKING -0.2560344995
71       12 WALKING_DOWNSTAIRS -0.1792777716
72       12   WALKING_UPSTAIRS -0.3540062225
73       13             LAYING -0.7311684105
74       13            SITTING -0.7352394234
75       13           STANDING -0.7423916269
76       13            WALKING -0.2109887942
77       13 WALKING_DOWNSTAIRS -0.1708020307
78       13   WALKING_UPSTAIRS -0.3306411188
79       14             LAYING -0.7067803596
80       14            SITTING -0.7302788091
81       14           STANDING -0.7337509198
82       14            WALKING -0.2883495005
83       14 WALKING_DOWNSTAIRS  0.0034191003
84       14   WALKING_UPSTAIRS -0.1111191393
85       15             LAYING -0.7326940544
86       15            SITTING -0.7338386973
87       15           STANDING -0.7339517954
88       15            WALKING -0.3061143133
89       15 WALKING_DOWNSTAIRS -0.1140555425
90       15   WALKING_UPSTAIRS -0.2943416695
91       16             LAYING -0.7432873589
92       16            SITTING -0.7347634146
93       16           STANDING -0.7445974446
94       16            WALKING -0.3831387187
95       16 WALKING_DOWNSTAIRS -0.2157726531
96       16   WALKING_UPSTAIRS -0.3829923246
97       17             LAYING -0.7313246906
98       17            SITTING -0.7470046271
99       17           STANDING -0.7534766692
100      17            WALKING -0.3092801139
101      17 WALKING_DOWNSTAIRS -0.2334458266
102      17   WALKING_UPSTAIRS -0.3025073499
103      18             LAYING -0.7461330398
104      18            SITTING -0.7438508435
105      18           STANDING -0.7444243309
106      18            WALKING -0.3944788454
107      18 WALKING_DOWNSTAIRS -0.3775267376
108      18   WALKING_UPSTAIRS -0.4264692323
109      19             LAYING -0.7421432495
110      19            SITTING -0.7281758913
111      19           STANDING -0.7355480364
112      19            WALKING -0.0739875704
113      19 WALKING_DOWNSTAIRS  0.1549415209
114      19   WALKING_UPSTAIRS -0.1968912957
115      20             LAYING -0.7378475263
116      20            SITTING -0.7261024076
117      20           STANDING -0.7035854072
118      20            WALKING -0.0954032717
119      20 WALKING_DOWNSTAIRS -0.0458055951
120      20   WALKING_UPSTAIRS -0.2057628722
121      21             LAYING -0.7293167955
122      21            SITTING -0.7431259907
123      21           STANDING -0.7403324934
124      21            WALKING -0.2396127505
125      21 WALKING_DOWNSTAIRS -0.1396453656
126      21   WALKING_UPSTAIRS -0.2986929002
127      22             LAYING -0.7189201808
128      22            SITTING -0.7201649244
129      22           STANDING -0.7267852961
130      22            WALKING -0.1618433787
131      22 WALKING_DOWNSTAIRS -0.1473819188
132      22   WALKING_UPSTAIRS -0.1917121853
133      23             LAYING -0.7384533667
134      23            SITTING -0.7261134911
135      23           STANDING -0.7350742309
136      23            WALKING -0.0969339947
137      23 WALKING_DOWNSTAIRS -0.0054724729
138      23   WALKING_UPSTAIRS -0.2594359054
139      24             LAYING -0.7381628011
140      24            SITTING -0.7371442491
141      24           STANDING -0.7344200498
142      24            WALKING -0.3569574372
143      24 WALKING_DOWNSTAIRS -0.2414255340
144      24   WALKING_UPSTAIRS -0.3626185880
145      25             LAYING -0.6550466560
146      25            SITTING -0.7376146470
147      25           STANDING -0.7392566659
148      25            WALKING -0.4201562708
149      25 WALKING_DOWNSTAIRS -0.3459519926
150      25   WALKING_UPSTAIRS -0.4354187434
151      26             LAYING -0.7446838737
152      26            SITTING -0.7322091868
153      26           STANDING -0.7404102246
154      26            WALKING -0.3187404188
155      26 WALKING_DOWNSTAIRS -0.1754931036
156      26   WALKING_UPSTAIRS -0.3303379885
157      27             LAYING -0.7470397731
158      27            SITTING -0.7386075658
159      27           STANDING -0.7438285595
160      27            WALKING -0.3153006107
161      27 WALKING_DOWNSTAIRS -0.1806158679
162      27   WALKING_UPSTAIRS -0.3680096843
163      28             LAYING -0.7497113373
164      28            SITTING -0.7310411156
165      28           STANDING -0.7124170653
166      28            WALKING -0.3138719928
167      28 WALKING_DOWNSTAIRS -0.1393965631
168      28   WALKING_UPSTAIRS -0.3234015414
169      29             LAYING -0.7470472838
170      29            SITTING -0.7390221567
171      29           STANDING -0.7469796414
172      29            WALKING -0.2568466925
173      29 WALKING_DOWNSTAIRS -0.1788126891
174      29   WALKING_UPSTAIRS -0.2319567305
175      30             LAYING -0.7337194566
176      30            SITTING -0.7320584775
177      30           STANDING -0.7142919019
178      30            WALKING -0.2670205652
179      30 WALKING_DOWNSTAIRS -0.2175233914
180      30   WALKING_UPSTAIRS -0.3389129883
